catalog_number,overview,ids
P40020,"<p>Bell &amp; Gossett volute cap screw set for B&amp;G series 80, 100, and 1531 pumps models A, AB, and AC. Volute cap screws fasten the cover plate to the volute.</p>",2983448
P45910,"<p>Bell &amp; Gossett impeller key for B&amp;G series PD and 60 pumps with bearing assembly 185260. The impeller nut screws onto the end of the pump shaft, securing the impeller in place.</p>",2983449
P49373,<p>Bell &amp; Gossett coupler key for 185014 and 185016 bearing assemblies on B&amp;G series 1510 and e-1510 pumps.</p>,2983450
V51090,"<p>Bell &amp; Gossett upper nameplate retainer for model 3D-2S, 3DS-2G, 3DS-2S, 3D-2-1/2S, 3DS-2-1/2G, 3DS-21/2S, 3D-3S, 3DS-3G, 3DS-3S, 3DS-3B, and 3DS-4B triple duty valves.</p>",2983451
V51093,"<p>Bell &amp; Gossett lower nameplate retainer for model 3D-2S, 3DS-2G, 3DS-2S, 3D-2-1/2S, 3DS-2-1/2G, 3DS-21/2S, 3D-3S, 3DS-3G, 3DS-3S, 3DS-3B, and 3DS-4B triple duty valves.</p>",2983452
V51180,"<p>Bell &amp; Gossett indicator ring for model 3D-2S, 3DS-2G, 3DS-2S, 3D-2-1/2S, 3DS-2-1/2G, 3DS-2-1/2S, 3D-3S, 3DS-3G, 3DS-3S, 3DS-3B, and 3DS-4B triple duty valves.</p>",2983453
V51181,"<p>Bell &amp; Gossett indicator ring, with a 1-11/16"" diameter, for model 3D-4S, 3DS-4G, 3DS-4S, 3D-5S, 3DS-5G, 3DS-5S, 3D-6S, 3DS-6G, 3DS-6S, 3D-8S, 3DS-8G, 3DS-8S, 3D-10S, 3DS-10G, 3DS-10S, 3DS-5B, 3DS-6B, 3DS-8B, 3DS-10B, and 3DS-12B triple duty valves.</p>",2983454
CP-751-531-442,,2983456
P04080,"<p>Bell &amp; Gossett 3-1/8"" outside diameter body gasket for B&amp;G series 100 pumps. </p>",2983455
V14609,,2983457
P10720,"<p>Bell &amp; Gossett sleeve set screw for B&amp;G series VSCS pumps, sizes 10x12 through 12x14.</p>",2983458
P5001249,,2983460
J23874,"<p>Bell &amp; Gossett impeller lock washer for 1531 series and series 80 pumps with 1-1/4"" shaft.</p>",2983459
P5001059,,2983462
P05800,"<p>Bell &amp; Gossett 4-3/4"" outside diameter body gasket for B&amp;G series PR, 2-1/2, LD-3, and HD-3 pumps. </p>",2983461
P03470,"<p>Bell &amp; Gossett volute cap screw for B&amp;G series 1531 pumps, models B, BB, and BC with 1-1/4"" shafts, as well as, series 80 pumps. Volute cap screws fasten the cover plate to the volute.</p>",2983463
P13780,"<p>Bell &amp; Gossett volute cap screw for B&amp;G series 1531 pumps, models 2E through 6E with 1-5/8"" shafts, as well as, series 80 pumps. Volute cap screws fasten the cover plate to the volute.</p>",2983464
V50962,,2983465
P49369,"<p>Bell &amp; Gossett impeller key for all B&amp;G series 1510 and e-1510 and series 80 pumps manufactured after August 1989. Impeller keys allow the impeller to be secured in place on the pump shaft. It is installed into the key indentation on the pump shaft, allowing the impeller to properly rotate and pump liquid.</p>",2983466
J91985,,2983467
P04660,"<p>Bell &amp; Gossett impeller lock washer for B&amp;G series 1535 pumps, sizes 351-357.</p>",2983468
P11220,"<p>Bell &amp; Gossett impeller lock washer for B&amp;G series 1535 pumps, sizes 355-3511.</p>",2983469
P57700,"<p>Bell &amp; Gossett body gasket for B&amp;G series 1510 and e-1510 bronze fitted and all bronze pumps with stuffing box construction, including models 1-1/4AB, 1-1/4 AC, 1-1/2AB, 2AB, 2AC, 2-1/2A, 2-1/2AB, 3AB, 4AB, 4AC, and 5A. Also fits series 80 pumps.</p>",2983470
P05790,"<p>Bell &amp; Gossett 5"" outside diameter body gasket for B&amp;G series HHD pumps. </p>",2983471
118153,<p>Bell &amp; Gossett 1.5 oz. tube of lubricating oil for all oilable B&amp;G pumps</p>,2983472
DP0850,,2983473
P12422,<p>Bell &amp; Gossett oil wick clip to holding wicking in place on B&amp;G series PD and 60 pumps.</p>,2983474
P53550,"<p>Bell &amp; Gossett water slinger for B&amp;G series 1531 and series 80 pumps with 1-1/4"" shafts.</p>",2983475
CP-671-139-491,,2983477
113055,"<p>B&amp;G 4V is a  1/8""IPM coin operated manual air for venting radiators in hot water heating systems. 150 psi maximum and 250 degree F.</p>",2983476
CP-751-531-096,,2983478
P5001026,,2983479
V50936,"<p>Bell &amp; Gossett seal ring for model 3D-5S, 3DS-5G, 3DS-5S, and 3DS-6B triple duty valves, as well as, model CB-5F and CB-5G circuit setters.</p>",2983480
7A,,2983481
CP-819-133-208,,2983482
H32600,<p>Bell &amp; Gossett coupler key for 185011 and 185013 bearing assemblies on B&amp;G series 1510 pumps.</p>,2983483
V51282,"<p>Bell &amp; Gossett packing gland washer for model 3D-4S, 3DS-4G, 3DS-4S, 3D-5S, 3DS-5G, 3DS-5S, 3D-6S, 3DS-6G, 3DS-6S, 3D-8S, 3DS-8G, 3DS-8S, 3D-10S, 3DS-10G, 3DS-10S, 3DS-5B, 3DS-6B, 3DS-8B, 3DS-10B, and 3DS-12B triple duty valves. </p>",2983484
P77335,"<p>Bell &amp; Gossett water slinger for B&amp;G series 1531 and 90 pumps with 1-1/4"" shafts.</p>",2983485
H28200,"<p>Bell &amp; Gossett seal plate cap screw for B&amp;G series VSC-D pumps, size 12x14x17. Cap screws are sold individually, but a total of eight is required for this pump.</p>",2983486
M43860,<p>Bell &amp; Gossett grease fitting for B&amp;G series VSCS pumps.</p>,2983487
P15692,"<p>Bell &amp; Gossett flange gasket set for B&amp;G series LR pumps, including models LR-12, LR-15, and LR-20.</p>",2983488
P5001084,,2983489
52-122-059-005,,2983491
P49371,<p>Bell &amp; Gossett coupler key for B&amp;G series VSCS pumps.</p>,2983490
52-122-060-005,,2983492
118154,,2983493
P52350,"<p>Bell &amp; Gossett impeller cap screw for B&amp;G series 1531 and series 80 pumps with 1-1/4"" shafts. The impeller cap screw attaches onto the end of the pump shaft, securing the impeller in place.</p>",2983494
G10033,"<p>B&amp;G part number G10033 is a valve packing only for models CB-4,5,6F &amp; CB-4,5,6G globe style circuit setter balancing valves. The packing is under the packing nut onto the bonnet to seal the valve stem. </p>",2983495
V51096,"<p>Bell &amp; Gossett packing for model 3D-4S, 3DS-4G, 3DS-4S, 3D-5S, 3DS-5G, 3DS-5S, 3D-6S, 3DS-6G, 3DS-6S, 3D-8S, 3DS-8G, 3DS-8S, 3D-10S, 3DS-10G, 3DS-10S, 3DS-5B, 3DS-6B, 3DS-8B, 3DS-10B, and 3DS-12B triple duty valves. Order three to make a complete set.</p>",2983496
118368,"<p>Bell &amp; Gossett flange gasket set for B&amp;G series 100 and PR pumps, including models 60-1, 60-2, and 60-11.</p>",2983497
J91635,"<p>Bell &amp; Gossett retainer nut for model CB-4F, CB-4G, CB-5F, CB-5G, CB-6F, and CB-6G circuit setters, as well as, 3DS-4G, 3DS-5G, 3DS-6G, 3DS-6S, 3DS-5S, 3DS-4S, 3D-4S, 3D-5S, 3D-6S, 3DS-5B, 3DS-6B, and 3DS-8BCB-4F triple duty valves. </p>",2983498
52111310005,,2983499
J94127,"<p>Bell &amp; Gossett sleeve o-ring for B&amp;G series VSC-D pumps, sizes 4x5x14-3/4 through 10x12x11-3/4 with 2"" shafts, manufactured after May 1973.</p>",2983500
J94137,"<p>Bell &amp; Gossett sleeve o-ring for B&amp;G series VSC-D pumps, sizes 4x4x9-1/4 through 6x8x9-3/4 with 1-5/8"" shafts, manufactured prior to May 1973.</p>",2983501
52-111-310-005,,2983502
52-111-311-005,,2983503
P46380,"<p>Bell &amp; Gossett impeller washer for B&amp;G series 1510 and e-1510 pumps with 1-1/4"" shafts.</p>",2983504
P81946,<p>Bell &amp; Gossett water slinger for B&amp;G series 1531 and 90 pumps.</p>,2983505
F17000,"<p>Bell &amp; Gossett packing for model S-4 Flo-Control valves, as well as, model 3D-2S, 3DS-2G, 3DS-2S, 3D-2-1/2S, 3DS-2-1/2G, 3DS-2-1/2S, 3D-3S, 3DS-3G, 3DS-3S, 3DS-3B, and 3DS-4B triple duty valves. </p>",2983506
P77375,,2983507
J92558,"<p>Bell &amp; Gossett spring washer for model 185011, 185012, 185013, 185321, P85005 bearing assemblies on B&amp;G series 1510 and e-1510 pumps, as well as, model 186397, 186398, 186399, P70418, P70419, P70421, P70422, P70424, and P70425 bearing assemblies on B&amp;G series 3510 pumps. Spring washers fit between the bearing frame and the ball bearing.</p>",2983508
F16600,"<p>Bell &amp; Gossett packing gland nut for model S-4 Flo-Control valves, as well as, model 3D-2S, 3DS-2G, 3DS-2S, 3D-2-1/2S, 3DS-2-1/2G, 3DS-2-1/2S, 3D-3S, 3DS-3G, 3DS-3S, 3DS-3B, and 3DS-4B triple duty valves. </p>",2983509
P57302,<p>Bell &amp; Gossett oil well cover for 185260 bearing assemblies on B&amp;G series PD and 60 pumps.</p>,2983510
P01808,"<p>Bell &amp; Gossett sleeve set screw for all B&amp;G series VSC-D pumps, except size 12x14x17.</p>",2983511
52-122-073-005,,2983512
52-122-074-005,,2983513
CP-751-531-940,,2983515
189160,,2983514
CP-751-531-944,,2983517
J32830,<p>Bell &amp; Gossett coupler key for B&amp;G series VSCS pumps.</p>,2983516
P5001090,,2983519
P53720,"<p>Bell &amp; Gossett water slinger for B&amp;G series 1531 and series 80 pumps with 1-5/8"" shafts.</p>",2983518
CP-751-531-991,,2983521
118036,"<p>Bell &amp; Gossett strainer and gasket kit for model B-38, B-38TU, F-3, F-8, F-3TU, F-8TU, FB-38, FB-38TU, 6, 8, and 8TU valves. </p>",2983520
P80732,<p>Bell &amp; Gossett volute gasket for B&amp;G series VSC pumps. </p>,2983522
J94141,"<p>Bell &amp; Gossett o-ring for SDG-2-1/2, BB-3, CB-3, CC-3, DA-3, DB-3, DC-3 Suction Diffusers.</p>",2983523
P5001083,,2983525
P65031,"<p>Bell &amp; Gossett flange bolts (set of 4) for B&amp;G all series 60 2"" pumps.</p>",2983524
J94129,"<p>Bell &amp; Gossett sleeve o-ring for B&amp;G series VSC-D pumps, size 10x10x13 with 2-5/8"" shafts, manufactured after May 1973.</p>",2983526
DF0489,,2983527
P57770,<p>Bell &amp; Gossett volute gasket for B&amp;G series 1510 centrifugal pumps. </p>,2983528
P80734,"<p>Bell &amp; Gossett bearing housing gasket for B&amp;G series VSC and VSCS pumps, fits sizes 4x4, 5x5, 5x6, 6x6, and 6x8.</p>",2983529
P80736,"<p>Bell &amp; Gossett bearing housing gasket for B&amp;G series VSC and VSCS split case pumps. This gasket fits VSCS sizes 4x5x14, 5x6x15, 6x8x9, 6x8x12, and 10x12x11, as well as, VSC sizes 6x6x9, 6x6x12, and all 8"" sizes on both VCS and VSCS.</p>",2983530
P80742,"<p>Bell &amp; Gossett volute gasket for B&amp;G series VSC and VSCS split case pumps, fits VSC sizes 4x4x9, 5x5x9, 6x6x9, and 6x8x9, as well as, VSCS sizes 5x6x9 and 6x8x9.</p>",2983531
P85078,"<p>Bell &amp; Gossett seal plate gasket for B&amp;G series VSC-D pumps models 4x4x9-1/4 through 6x8x9-3/4 with 1-5/8"" shaft sizes.</p>",2983532
118373,"<p>Bell &amp; Gossett flange gasket set for B&amp;G series HV and 60 pumps, including models 60-3 and 60-13.</p>",2983533
H32500,"<p>Bell &amp; Gossett impeller key for B&amp;G series 1510 pumps with bearing assemblies 185011 and 185013. Impeller keys allow the impeller to be secured in place on the pump shaft. It is installed into the key indentation on the pump shaft, allowing the impeller to properly rotate and pump liquid.</p>",2983534
P80767,<p>Bell &amp; Gossett volute gasket for B&amp;G series 1510 and e-1510 pumps. </p>,2983535
52-122-069-005,,2983536
52-122-070-005,,2983537
A2-STST,,2983538
CP-751-531-270,,2983540
P57701,<p>Bell &amp; Gossett body gasket for 185264 and 185265 bearing assemblies on bronze fitted and all bronze B&amp;G series 60 pumps with large bearing frames. </p>,2983539
118395,<p>Bell &amp; Gossett oil wick for bearing assemblies on B&amp;G booster pumps.</p>,2983541
118705,"<p>Bell &amp; Gossett 1/2"" x 1/2"" cast iron coupler. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983542
P51750,"<p>Bell &amp; Gossett impeller key for all B&amp;G series 1535 pumps. Impeller keys allow the impeller to be secured in place on the pump shaft. It is installed into the key indentation on the pump shaft, allowing the impeller to properly rotate and pump liquid.</p>",2983543
G82750,<p>Bell &amp; Gossett flange gasket for A-2-1/2 and S-2-1/2 Flo-Control valves.</p>,2983544
P81914,<p>Bell &amp; Gossett volute gasket for B&amp;G series VSC pumps. </p>,2983545
J94130,"<p>Bell &amp; Gossett o-ring for SDG-3, DD-3, and ED-3 suction diffusers.</p>",2983546
P77295,<p>Bell &amp; Gossett water slinger for B&amp;G series VSC pumps.</p>,2983547
101001,"<p>Bell &amp; Gossett 3/4"" iron pump flange for B&amp;G series NRF, PL, PR, and 100 iron body booster pumps.</p>",2983548
101002,"<p>Bell &amp; Gossett 1"" iron pump flange for B&amp;G series NRF, PL, PR, and 100 iron body booster pumps.</p>",2983549
101003,"<p>Bell &amp; Gossett 1-1/4"" iron pump flange for B&amp;G series NRF, PL, PR, 1-1/4, 60, 90, and 100 iron body booster pumps.</p>",2983550
101004,"<p>Bell &amp; Gossett 1-1/2"" iron pump flange for B&amp;G series NRF, PL, PR, and 100 iron body booster pumps.</p>",2983551
03.���,,2983552
1,,2983553
101007,"<p>Bell &amp; Gossett 1-1/2"" iron pump flange for B&amp;G series HV, NRF, and PL iron body booster pumps.</p>",2983554
118378,"<p>Bell &amp; Gossett flange gasket set for B&amp;G series 2"" and 60 pumps, including models 60-4 and 60-14.</p>",2983555
J93595,"<p>Bell &amp; Gossett impeller key for B&amp;G series VSC and VSCS pumps. Impeller keys allow the impeller to be secured in place on the pump shaft. It is installed into the key indentation on the pump shaft, allowing the impeller to properly rotate and pump liquid.</p>",2983556
P5001091,,2983558
P49372,"<p>Bell &amp; Gossett impeller key for B&amp;G series 1531 and series 80 pumps with 1-5/8"" shafts. Impeller keys allow the impeller to be secured in place on the pump shaft. It is installed into the key indentation on the pump shaft, allowing the impeller to properly rotate and pump liquid.</p>",2983557
118129,"<p>Bell &amp; Gossett flange gasket set for B&amp;G series HD3, LD3, PD, and 2-1/2 pumps, including models LD-3, HD-3, PD-35, PD-37, PD-38, PD-39, and PD-40.</p>",2983559
118351,<p>Bell &amp; Gossett flange gasket set for B&amp;G series 1 pumps manufactured between January 1951 and June 1976.</p>,2983560
P64910,"<p>Bell &amp; Gossett flange bolts (set of 4) for B&amp;G series PL, PR, 1-1/4, 60, 90, and 100 pumps.</p>",2983561
108119,<p>Monoflo fittings make it possible to use a single pipe to work as both supply and a return to the main supply line on radiators and baseboard heating units. One fitting installation is adequate for up-feed radiation. Two fitting installation should be used when high resistance units are used or units are through a down-feed and require both supply and return risers.</p>,2983562
108120,<p>Monoflo fittings make it possible to use a single pipe to work as both supply and a return to the main supply line on radiators and baseboard heating units. One fitting installation is adequate for up-feed radiation. Two fitting installation should be used when high resistance units are used or units are through a down-feed and require both supply and return risers.</p>,2983563
108121,<p>Monoflo fittings make it possible to use a single pipe to work as both supply and a return to the main supply line on radiators and baseboard heating units. One fitting installation is adequate for up-feed radiation. Two fitting installation should be used when high resistance units are used or units are through a down-feed and require both supply and return risers.</p>,2983564
108122,<p>Monoflo fittings make it possible to use a single pipe to work as both supply and a return to the main supply line on radiators and baseboard heating units. One fitting installation is adequate for up-feed radiation. Two fitting installation should be used when high resistance units are used or units are through a down-feed and require both supply and return risers.</p>,2983565
108123,<p>Monoflo fittings make it possible to use a single pipe to work as both supply and a return to the main supply line on radiators and baseboard heating units. One fitting installation is adequate for up-feed radiation. Two fitting installation should be used when high resistance units are used or units are through a down-feed and require both supply and return risers.</p>,2983566
118680LF,,2983567
189138,"<p>Bell &amp; Gossett gland assembly for model CT-24, CTS-7524, and CTF-10024 Comfort-Trol zone valves.</p>",2983568
113042,"<p>B&amp;G 17-JR is a 1/8""IPM automatic hot water air valve with 30lb maximum psi and maximum temperature of 225 degree F. Discontinued. Shown here for historical reference only. </p>",2983569
P64930,,2983570
P64940,"<p>Bell &amp; Gossett flange bolts (set of 4) for B&amp;G all series 60 1-1/2"" pumps.</p>",2983571
52-328-740-241,,2983572
P5001577,,2983573
V50952,"<p>Bell &amp; Gossett spring for model 3D-2S, 3DS-2G, 3DS-2S, 3D-2-1/2, 3DS-2-1/2G, 3DS-2-1/2S, and 3DS-3B triple duty valves.</p>",2983574
189132,,2983575
P13800,"<p>Bell &amp; Gossett capscrew for B&amp;G series 1510 and e-1510 pumps, as well as, series 80 pumps with a 1-5/8"" shaft. Volute cap screws fasten the cover plate to the volute.</p>",2983576
P77320,"<p>Bell &amp; Gossett water slinger for B&amp;G series 1531 pumps with 1-5/8"" shafts and stuffing box construction, as well as, VSC pumps.</p>",2983577
CP-819-111-208,,2983579
112119,<p>The B&amp;G In-Line Air Separator is specially designed to efficiently separate air from circulation water in hydronic heating and cooling systems to assure efficient and quiet operation.</p>,2983578
J93170,"<p>Bell &amp; Gossett impeller key for B&amp;G series VSC and VSCS pumps. Impeller keys allow the impeller to be secured in place on the pump shaft. It is installed into the key indentation on the pump shaft, allowing the impeller to properly rotate and pump liquid.</p>",2983580
P46390,"<p>Bell &amp; Gossett impeller washer for B&amp;G series 1510 bronze body and series 80 pumps with 1-1/4"" shafts.</p>",2983581
P80758,<p>Bell &amp; Gossett volute gasket for B&amp;G series VSC and VSCS split case pumps.</p>,2983582
P80765,"<p>Bell &amp; Gossett volute gasket for B&amp;G series 1510 and e-1510 E pumps, as well as, series 80 pumps.</p>",2983583
118223,"<p>Bell &amp; Gossett motor mount set for B&amp;G series 100 1/12 HP, HV, and 2"" booster pumps. When a pump coupler breaks that is an indication that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is important to always replace the motor mounts when the pump coupling breaks.</p>",2983584
189171,,2983585
M76040,,2983586
P59570,"<p>Bell &amp; Gossett impeller key for B&amp;G series 1535 pumps size 355 through 3511. The impeller nut screws onto the end of the pump shaft, securing the impeller in place.</p>",2983587
V50946,"<p>Bell &amp; Gossett seal retainer for model 3D-5S, 3DS-5G, 3DS-5S, and 3DS-6B triple duty valves.</p>",2983588
189170LF,"<p>Bell &amp; Gossett noryl (non-ferrous) construction impeller, with a  3-1/16"" outside diameter, for B&amp;G series PL pumps, specifically models PL-30 and PL-36. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983589
P80752,"<p>Bell &amp; Gossett volute gasket for B&amp;G series VSC and VSCS split case pumps, fits VSC sizes 5x5x12, 6x6x12, and 8x8x10, as well as, VSCS sizes 8x8x10 and 10x12x11.</p>",2983590
P80763,"<p>Bell &amp; Gossett volute gasket for B&amp;G series VSC and VSCS pumps, size 4x5x14-3/4.</p>",2983591
118681LF,,2983593
P65030,"<p>Bell &amp; Gossett flange bolts (set of 4) for B&amp;G all series 60 2"" pumps.</p>",2983592
P80764,<p>Bell &amp; Gossett volute gasket for B&amp;G series VSC and VSCS pumps. </p>,2983594
P85079,"<p>Bell &amp; Gossett seal plate gasket for B&amp;G series VSC-D pumps models 4x5x14-3/4 through 10x12x11-3/4 with 2"" shaft sizes.</p>",2983595
113224,"<p>AQS Aquastats will thermostatically turn NRF/NBF pumps ""On"" and ""Off"". Using a stainless steel clip, which attaches to the surface of the copper pipe, it will sense the temperature within the pipe to turn the pump On/Off. Can also be used with B&amp;G model TC-1 timer in combination to circulate water only when the time conditions are met and the temperature is low enough to cause the aquastat to switch ""on"".  </p>",2983596
108124,<p>Monoflo fittings make it possible to use a single pipe to work as both supply and a return to the main supply line on radiators and baseboard heating units. One fitting installation is adequate for up-feed radiation. Two fitting installation should be used when high resistance units are used or units are through a down-feed and require both supply and return risers.</p>,2983597
108125,<p>Monoflo fittings make it possible to use a single pipe to work as both supply and a return to the main supply line on radiators and baseboard heating units. One fitting installation is adequate for up-feed radiation. Two fitting installation should be used when high resistance units are used or units are through a down-feed and require both supply and return risers.</p>,2983598
J94142,"<p>Bell &amp; Gossett o-ring for SDG-5, FF-3, and GF-3 suction diffusers.</p>",2983599
J94143,"<p>Bell &amp; Gossett J94143 - O-Ring for SDG-6, GG-3, HG-3 Suction Diffusers</p>",2983600
J93449,"<p>Bell &amp; Gossett impeller key for B&amp;G series VSC and VSCS pumps. Impeller keys allow the impeller to be secured in place on the pump shaft. It is installed into the key indentation on the pump shaft, allowing the impeller to properly rotate and pump liquid.</p>",2983601
186944,,2983602
P78804,,2983603
J92560,"<p>Bell &amp; Gossett spring washer for B&amp;G Series e-1510 pumps with a large bore impeller and a 1-5/8"" shaft sleeve diameter at mechanical seal.</p>",2983604
113102,<p>B&amp;G Model RP-250B Read-Out probe for pressure tappings to monitor flow or pressure.  Maximum 300 psi and 250 degree F. Use with BI1311 valves.</p>,2983605
113020,"<p>Number 67 1/8""IPM automatic hot water air vent with maximum pressure of 50 PSI and 240 degrees F. Designed for hot water radiators, baseboards, convectors and small unit heaters.</p>",2983606
118861,"<p>Bell &amp; Gossett pressure reducing valve repair kit, which includes a diaphragm, strainer plug, strainer and gasket, round valve check, and loctite.</p>",2983607
V57795PK,,2983608
118228,"<p>Bell &amp; Gossett motor mount set for B&amp;G series PR, 2-1/2"", LD-3, and HD-3 booster pumps, as well as, 60 series 1/4 HP and 1522 series 1/3 HP, 1/2 HP, and 3/4HP. When a pump coupler breaks that is an indication that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is important to always replace the motor mounts when the pump coupling breaks.</p>",2983609
J94131,"<p>Bell &amp; Gossett o-ring for SDG-4, EE-3, FE-3, and GE-3 suction diffusers.</p>",2983610
P5001287,,2983612
DG0147,,2983611
M76042,,2983613
P5001038,,2983614
101012LF,,2983616
101011,"<p>Bell &amp; Gossett 3/4"" bronze pump flange for B&amp;G series NBF, PL, PR, and 100 bronze body booster pumps.</p>",2983615
101014LF,,2983618
101013,"<p>Bell &amp; Gossett 1-1/4"" bronze pump flange for B&amp;G series NBF, PL, PR, and 100 bronze body booster pumps.</p>",2983617
P5001092,,2983620
189137,"<p>Bell &amp; Gossett heat motor assembly for model CT-24, CTS-7524, and CTF-10024 Comfort-Trol zone valves.</p>",2983619
CP-753-383-021,,2983622
118848,"<p>Bell &amp; Gossett motor mount set for B&amp;G series 60 pumps, specifically models 612, 614, 616, 623, and 624 in both iron and bronze. When a pump coupler breaks that is an indication that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is important to always replace the motor mounts when the pump coupling breaks.</p>",2983621
V29400,<p>Bell &amp; Gossett gasket for CB-4F and CB-4G circuit setter balancing valves.</p>,2983623
V51281,"<p>Bell &amp; Gossett packing gland nut for model 3D-4S, 3DS-4G, 3DS-4S, 3D-5S, 3DS-5G, 3DS-5S, 3D-6S, 3DS-6G, 3DS-6S, 3D-8S, 3DS-8G, 3DS-8S, 3D-10S, 3DS-10G, 3DS-10S, 3DS-5B, 3DS-6B, 3DS-8B, 3DS-10B, and 3DS-12B triple duty valves. </p>",2983624
P76922,,2983626
118473,"<p>Bell &amp; Gossett 1/2"" x 1/2"" coupler for PD-35 and PD-37 booster pumps, as well as, 60 series AA pumps. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983625
113041,"<p>DT-2 Drain-O-Tank is a 1/2""male boiler drain with a copper tube within it which also offers a quick way to recharge air into a water logged compression tank.</p>",2983627
P51230,<p>Bell &amp; Gossett impeller washer for B&amp;G series 1510 and e-1510.</p>,2983628
118706,,2983629
G81250,,2983630
M75064,,2983631
M75066,,2983632
113223,"<p>AQS Aquastats will thermostatically turn NRF/NBF pumps ""On"" and ""Off"". Using a stainless steel clip, which attaches to the surface of the copper pipe, it will sense the temperature within the pipe to turn the pump On/Off. Can also be used with B&amp;G model TC-1 timer in combination to circulate water only when the time conditions are met and the temperature is low enough to cause the aquastat to switch ""on"".  </p>",2983633
189139,<p>Bell &amp; Gossett bonnet and retainer assembly for Comfort-Trol zone valves.</p>,2983634
