id,catalog_number,brand,cad
2295952,8-120H O/L,Morse,nan
2296044,50NP O/L,Morse,nan
2294932,10B-3 O/L SC,Morse,nan
2294924,08B-2 O/L SC,Morse,nan
2296036,40NP C/L S/C S/F,Morse,nan
2296052,60NP O/L,Morse,nan
2294920,06B-3 O/L SC,Morse,nan
2294940,16B-2 C/L SC,Morse,nan
2294928,10B-1 O/L SC,Morse,nan
2294956,32B-1 C/L SC,Morse,nan
2294912,25 C/L S/C S/F,Morse,nan
2294952,24B-2 C/L SC,Morse,nan
2294948,20B-3 C/L CP,Morse,nan
2294968,35 POLYPROP 10 FT,Morse,nan
2294980,25B17 NYLATRON NB,Morse,nan
2294908,80XLO 10 FT,Morse,nan
2294984,25B21 NYLATRON NB,Morse,nan
2300081,41R 100FT,Morse,nan
2300077,35R 10FT,Morse,nan
2294972,40 POLYPROP 10 FT,Morse,nan
2294964,25 POLYPROP 10 FT,Morse,nan
2294988,25B28 NYLATRON NB,Morse,nan
2294992,25B48 NYLATRON NB,Morse,nan
2295004,35B24 NYLATRON NB,Morse,nan
2295000,35B15 NYLATRON NB,Morse,nan
2295016,40B24 NYLATRON NB,Morse,nan
2294936,12B-2 O/L SC,Morse,nan
2295160,12B-2 10FT,Morse,nan
2295156,10B-2 25 FT,Morse,nan
2295168,20B-2 10 FT,Morse,nan
2295164,16B-1 10 FT,Morse,nan
2295008,35B36 NYLATRON NB,Morse,nan
2294960,32B-3 O/L SC,Morse,nan
2295172,24B-3 10 FT,Morse,nan
2294976,25B13 NYLATRON NB,Morse,nan
2295188,100 S1 R/L,Morse,nan
2295196,120 D3 C/L C/P S/F,Morse,nan
2295204,140 D3 C/L C/P S/F,Morse,nan
2295212,160 D1 C/L C/P S/F,Morse,nan
2295216,160 S2 R/L,Morse,nan
2295184,100 B2 R/L,Morse,nan
2295180,C80 28,Morse,nan
2295228,40 B1 C/L S/C S/F,Morse,nan
2295224,35 S1 R/L,Morse,nan
2295232,40 D1 C/L S/C S/F,Morse,nan
2295176,C40 26,Morse,nan
2294996,35B10 NYLATRON NB,Morse,nan
2295192,120 B1 R/L,Morse,nan
2295012,40B10 NYLATRON NB,Morse,nan
2295248,41 S1 C/L S/C S/F,Morse,nan
2295208,160 B1 C/L C/P S/F,Morse,nan
2295200,140 B1 C/L C/P S/F,Morse,nan
2295220,35 B2 R/L,Morse,nan
2295252,50 B1 C/L S/C S/F,Morse,nan
2295260,50 S2 C/L S/C S/F,Morse,nan
2295236,40 S2 C/L S/C S/F,Morse,nan
2295240,40-2 S1 C/L S/C S/F,Morse,nan
2295268,60 B2 C/L S/C S/F,Morse,nan
2295276,80 B1 C/L C/P S/F,Morse,nan
2295244,41 B2 C/L S/C S/F,Morse,nan
2295280,80 D1 C/L C/P S/F,Morse,nan
2295292,C2040 B22 C/L S/C S/F,Morse,nan
2295300,C2040 S21 C/L S/C S/F,Morse,nan
2295284,80 S2 C/L C/P S/F,Morse,nan
2295320,C2050 S22 C/L S/C S/F,Morse,nan
2295304,C2042 B22 R/L,Morse,nan
2295256,50 D1 C/L S/C S/F,Morse,nan
2295332,C2060H B22 C/L C/P S/F,Morse,nan
2295324,C2052 B21 R/L,Morse,nan
2295316,C2050 S12 C/L S/C S/F,Morse,nan
2295336,C2060H S11 C/L C/P S/F,Morse,nan
2295296,C2040 S11 C/L S/C S/F,Morse,nan
2295357,C2080H D3 C/L C/P S/F,Morse,nan
2295373,C2100H B21 C/L C/P S/F,Morse,nan
2295344,C2062H B22 R/L,Morse,nan
2295369,C2100H B11 C/L C/P S/F,Morse,nan
2295353,C2080H B21 R/L,Morse,nan
2295377,C2100H D1 C/L C/P S/F,Morse,nan
2295393,C2120H B22 C/L C/P S/F,Morse,nan
2295361,C2080H S21 R/L,Morse,nan
2295385,C2100H S22 R/L,Morse,nan
2295365,C2082H B12 R/L,Morse,nan
2295389,C2120H B11 C/L C/P S/F,Morse,nan
2295397,C2120H S11 R/L,Morse,nan
2295381,C2100H S12 C/L C/P S/F,Morse,nan
2295413,40R 50FT,Morse,nan
2295401,C2120H S21 R/L,Morse,nan
2295461,100HR 100FT,Morse,nan
2295429,80C 50FT,Morse,nan
2295425,100R 10FT,Morse,nan
2295433,MT140C 10.21FT,Morse,nan
2295409,40R 200FT,Morse,nan
2295457,100H-6C 10FT,Morse,nan
2295441,100-3R 10FT,Morse,nan
2295449,100H-2C 10FT,Morse,nan
2295437,MT160R 10FT,Morse,nan
2295453,100H-4C 10FT,Morse,nan
2295469,120-3R 10FT,Morse,nan
2295481,120H-3R 10FT,Morse,nan
2295477,120C 10FT,Morse,nan
2295497,140-4R 10.21FT,Morse,nan
2295465,105R 50FT,Morse,nan
2295489,120HR 10FT,Morse,nan
2295509,140H-4C 10.21FT,Morse,nan
2295513,140H-6C 10.21FT,Morse,nan
2295493,140-2R 10.21FT,Morse,nan
2295521,160-3C 10FT,Morse,nan
2295533,160H-3C 10FT,Morse,nan
2295485,120H-5R 10FT,Morse,nan
2295529,160-8C 10FT,Morse,nan
2295525,160-5C 10FT,Morse,nan
2295541,160HC 10FT,Morse,nan
2295545,200-2R 10FT,Morse,nan
2295549,200-4R 10FT,Morse,nan
2295505,140H-2C 10.21FT,Morse,nan
2295473,120-5R 10FT,Morse,nan
2295565,50-2R 100FT,Morse,nan
2295501,140-6R 10.21FT,Morse,nan
2295553,200H-3C 10FT,Morse,nan
2295537,160H-5C 10FT,Morse,nan
2295517,140R 10.21FT,Morse,nan
2295569,60-2C 10FT,Morse,nan
2295581,60-8C 10FT,Morse,nan
2295589,60HC 10FT,Morse,nan
2295577,60-4R 10FT,Morse,nan
2295605,8-60HR 10FT,Morse,nan
2295585,60H-3R 10FT,Morse,nan
2295573,60-3C 10FT,Morse,nan
2295629,80HC 10FT,Morse,nan
2295617,80-6R 10FT,Morse,nan
2295593,65R 10FT,Morse,nan
2295601,8-160HC 10FT,Morse,nan
2295597,8-120HC 10FT,Morse,nan
2295621,80H-3C 10FT,Morse,nan
2295641,50NP R 10FT,Morse,nan
2295633,85R 10FT,Morse,nan
2295637,40NP R 10FT,Morse,nan
2295625,80H-5C 10FT,Morse,nan
2295649,80LL C 50FT,Morse,nan
2295657,C2052R 10FT,Morse,nan
2295677,2040R 50FT,Morse,nan
2295653,C2040R 100FT,Morse,nan
2295673,C2122HC 10FT,Morse,nan
2295682,2060R 10FT,Morse,nan
2295695,C2042 O/L,Morse,nan
2295661,C2062HC 10FT,Morse,nan
2295665,C2082HC 10FT,Morse,nan
2295687,MT140 C/L C/P P/F,Morse,nan
2295711,C2082H O/L,Morse,nan
2295691,MT160 O/L,Morse,nan
2295669,C2102HC 10FT,Morse,nan
2295707,C2062H R/L,Morse,nan
2295703,C2060H C/L S/C S/F,Morse,nan
2295699,C2050 R/L,Morse,nan
2295751,100H-4 C/L C/P S/F,Morse,nan
2295723,100 C/L C/P P/F,Morse,nan
2295735,100-5 O/L,Morse,nan
2295645,60LL R 100FT,Morse,nan
192393,0220-05904,HubCity,nan
192385,0220-05802,HubCity,nan
2295727,100 R/L,Morse,nan
2295747,100H-3 C/L C/P P/F,Morse,nan
2295731,100-3 O/L,Morse,nan
2295739,100-8 O/L,Morse,nan
427413,18GCT 7.5 LR 56C,Morse,nan
414000,154H-FK,Morse,nan
416423,115BU106,Morse,115BU106.zip
430841,154Q56H10 010,Morse,154Q56H10 010.zip
416245,SC408 CG 10FT,Morse,nan
2295743,100H R/L,Morse,nan
2295715,C2100H R/L,Morse,nan
430956,300Q140H60 203,Morse,300Q140H60 203.zip
416442,207BU107,Morse,207BU107.zip
430880,206Q140H20 107,Morse,206Q140H20 107.zip
431256,175Q56L20,Morse,175Q56L20.zip
455589,N4 CPLG CHAIN-10 FT,Morse,nan
431303,206Q56L60,Morse,206Q56L60.zip
454613,T-609,Rollway,nan
431190,133Q56L15,Morse,133Q56L15.zip
431488,325Q140L50,Morse,325Q140L50.zip
431363,262Q140L30,Morse,262Q140L30.zip
2856419,0229-03189,HubCity,nan
2856423,0229-03193,HubCity,nan
2856431,0229-03202,HubCity,nan
431835,300UL40,Morse,300UL40.zip
430909,237Q56H30 107,Morse,237Q56H30 107.zip
2856435,0229-03206,HubCity,nan
2856439,0229-03211,HubCity,nan
2856443,0229-03225,HubCity,nan
2856447,0229-03229,HubCity,nan
2856451,0229-03233,HubCity,nan
462967,40R 10FT,Morse,nan
2856455,0229-03237,HubCity,nan
2856459,0229-03241,HubCity,nan
2856483,0230-03617,HubCity,nan
2856495,0230-05075,HubCity,nan
2856499,0230-05654,HubCity,nan
2856467,0229-03249,HubCity,nan
2856507,0230-07829,HubCity,nan
2856515,0230-08076,HubCity,nan
2856487,0230-03754,HubCity,nan
2856519,0230-08172,HubCity,nan
2856463,0229-03245,HubCity,nan
2856523,0230-09537,HubCity,nan
2856511,0230-08046,HubCity,nan
2856491,0230-04389,HubCity,nan
2856535,0230-15827,HubCity,nan
2856543,0230-16044,HubCity,nan
2856547,0230-17022,HubCity,nan
2856539,0230-15873,HubCity,nan
2856555,0230-17036,HubCity,nan
2856475,0230-01945,HubCity,nan
2856559,0230-17130,HubCity,nan
2856575,0230-18332,HubCity,nan
2856571,0230-17153,HubCity,nan
2856579,0230-18425,HubCity,nan
2856583,0230-18504,HubCity,nan
2856503,0230-06118,HubCity,nan
2856591,0230-18568,HubCity,nan
2856479,0230-02035,HubCity,nan
2856599,0230-18583,HubCity,nan
2856611,0230-18596,HubCity,nan
2856531,0230-15647,HubCity,nan
2856615,0230-18686,HubCity,nan
2856551,0230-17028,HubCity,nan
2856619,0230-18702,HubCity,nan
2856603,0230-18587,HubCity,nan
2856607,0230-18592,HubCity,nan
2856527,0230-12262,HubCity,nan
2856627,0230-18711,HubCity,nan
2856563,0230-17143,HubCity,nan
2856643,0230-18834,HubCity,nan
2856647,0230-18840,HubCity,nan
2856655,0230-19591,HubCity,nan
2856635,0230-18872,HubCity,nan
2856663,0230-19727,HubCity,nan
2856631,0230-18719,HubCity,nan
2856651,0230-19440,HubCity,nan
2856623,0230-18707,HubCity,nan
2856639,0230-18828,HubCity,nan
2856587,0230-18563,HubCity,nan
2856667,0230-19733,HubCity,nan
2856659,0230-19723,HubCity,nan
2856695,0230-19947,HubCity,nan
2856699,0230-19963,HubCity,nan
2856707,0230-19983,HubCity,nan
2856687,0230-19758,HubCity,nan
2856691,0230-19943,HubCity,nan
2856671,0230-19740,HubCity,nan
2856703,0230-19968,HubCity,nan
2856719,0230-20325,HubCity,nan
2856727,0230-21727,HubCity,nan
2856679,0230-19748,HubCity,nan
2856731,0230-22288,HubCity,nan
2856751,0230-72284,HubCity,nan
2856711,0230-20302,HubCity,nan
2856723,0230-20344,HubCity,nan
2856735,0230-72023,HubCity,nan
2856739,0230-72043,HubCity,nan
2856747,0230-72209,HubCity,nan
2856755,0230-72288,HubCity,nan
2856779,0230-72464,HubCity,nan
2856683,0230-19753,HubCity,nan
2856771,0230-72313,HubCity,nan
2856743,0230-72150,HubCity,nan
2856795,0230-72507,HubCity,nan
2856799,0230-72516,HubCity,nan
2856807,0230-72528,HubCity,nan
2856811,0230-72535,HubCity,nan
2856815,0230-72766,HubCity,nan
2856819,0230-72783,HubCity,nan
2856775,0230-72317,HubCity,nan
2856787,0230-72477,HubCity,nan
2856759,0230-72293,HubCity,nan
2856803,0230-72523,HubCity,nan
2856843,0230-30125,HubCity,nan
2856791,0230-72502,HubCity,nan
2856855,0230-30164,HubCity,nan
2856867,0230-30347,HubCity,nan
2856783,0230-72471,HubCity,nan
2856831,0230-72815,HubCity,nan
2856827,0230-72808,HubCity,nan
2856851,0230-30147,HubCity,nan
2856835,0230-72830,HubCity,nan
2856871,0230-30351,HubCity,nan
2856895,0230-30387,HubCity,nan
2856847,0230-30131,HubCity,nan
2856899,0230-30404,HubCity,nan
2856903,0230-30409,HubCity,nan
2856915,0230-30515,HubCity,nan
2856883,0230-30369,HubCity,nan
2856887,0230-30374,HubCity,nan
2856859,0230-30727,HubCity,nan
2856927,0230-30540,HubCity,nan
2856907,0230-30503,HubCity,nan
2856923,0230-30529,HubCity,nan
2856939,0230-30582,HubCity,nan
2856931,0230-30548,HubCity,nan
2856951,0230-30623,HubCity,nan
2856959,0230-30658,HubCity,nan
2856955,0230-30644,HubCity,nan
2856963,0230-30747,HubCity,nan
2856967,0230-30754,HubCity,nan
2856891,0230-30378,HubCity,nan
2856947,0230-30605,HubCity,nan
2856919,0230-30525,HubCity,nan
2856971,0230-30773,HubCity,nan
2856911,0230-30507,HubCity,nan
2856983,0230-30814,HubCity,nan
2856975,0230-30785,HubCity,nan
2856991,0230-30842,HubCity,nan
2856979,0230-30794,HubCity,nan
2856935,0230-30564,HubCity,nan
2856995,0230-30884,HubCity,nan
2856943,0230-30586,HubCity,nan
2857003,0230-31427,HubCity,nan
2856999,0230-30905,HubCity,nan
2857023,0230-32150,HubCity,nan
2857019,0230-32146,HubCity,nan
2857035,0230-32170,HubCity,nan
2856987,0230-30872,HubCity,nan
2857043,0230-32182,HubCity,nan
2857039,0230-32175,HubCity,nan
2857007,0230-31931,HubCity,nan
2857047,0230-32189,HubCity,nan
2857067,0230-32335,HubCity,nan
2857011,0230-31944,HubCity,nan
2857051,0230-32204,HubCity,nan
2857063,0230-32327,HubCity,nan
2857027,0230-32156,HubCity,nan
2857015,0230-31981,HubCity,nan
2857083,0230-37205,HubCity,nan
2857087,0230-37272,HubCity,nan
2857095,0230-32543,HubCity,nan
2857091,0230-37245,HubCity,nan
2857103,0230-32579,HubCity,nan
2857107,0230-32608,HubCity,nan
2857111,0230-32693,HubCity,nan
2857071,0230-32356,HubCity,nan
2857119,0230-37105,HubCity,nan
2857079,0230-32385,HubCity,nan
2857099,0230-32567,HubCity,nan
2857123,0230-37123,HubCity,nan
2857127,0230-37139,HubCity,nan
2857085,0230-37215,HubCity,nan
2857031,0230-32164,HubCity,nan
2857131,0230-37166,HubCity,nan
2857135,0230-37197,HubCity,nan
2857055,0230-32215,HubCity,nan
2857086,0230-37223,HubCity,nan
2857163,0230-37264,HubCity,nan
2857167,0230-37284,HubCity,nan
2857171,0230-37345,HubCity,nan
2857179,0230-37358,HubCity,nan
2857155,0230-37726,HubCity,nan
2857093,0230-37251,HubCity,nan
2857175,0230-37350,HubCity,nan
2857183,0230-37367,HubCity,nan
2857151,0230-37236,HubCity,nan
2857203,0230-37447,HubCity,nan
2857075,0230-32370,HubCity,nan
2857211,0230-37503,HubCity,nan
2857219,0230-37670,HubCity,nan
2857187,0230-37371,HubCity,nan
2857223,0230-37768,HubCity,nan
2857115,0230-32745,HubCity,nan
2857215,0230-37564,HubCity,nan
2857191,0230-37382,HubCity,nan
2857235,0230-39830,HubCity,nan
2857239,0230-39841,HubCity,nan
2857727,0230-39895,HubCity,nan
2857231,0230-39801,HubCity,nan
2857227,0230-37845,HubCity,nan
2857251,0230-39914,HubCity,nan
2857255,0230-39936,HubCity,nan
2857199,0230-37435,HubCity,nan
2857263,0230-39955,HubCity,nan
2857195,0230-37387,HubCity,nan
2857275,0230-39990,HubCity,nan
2857279,0230-40054,HubCity,nan
2857287,0230-40073,HubCity,nan
2857207,0230-37463,HubCity,nan
2857295,0230-40128,HubCity,nan
2857303,0230-40168,HubCity,nan
2857299,0230-40145,HubCity,nan
2857307,0230-40207,HubCity,nan
2857311,0230-40253,HubCity,nan
2857267,0230-39964,HubCity,nan
2857319,0230-40375,HubCity,nan
2857723,0230-39847,HubCity,nan
2857323,0230-40522,HubCity,nan
2857335,0230-41767,HubCity,nan
2857331,0230-40537,HubCity,nan
2857339,0230-42259,HubCity,nan
2857343,0230-46210,HubCity,nan
2857283,0230-40066,HubCity,nan
2857351,0230-46284,HubCity,nan
2857259,0230-39948,HubCity,nan
2857355,0230-46403,HubCity,nan
2857367,0230-47177,HubCity,nan
2857315,0230-40323,HubCity,nan
2857371,0230-47205,HubCity,nan
2857271,0230-39984,HubCity,nan
2857375,0230-47449,HubCity,nan
2857387,0250-57851,HubCity,nan
2857383,0230-47637,HubCity,nan
2857391,0250-60662,HubCity,nan
2857395,0250-60666,HubCity,nan
2857347,0230-46272,HubCity,nan
2857403,0250-60710,HubCity,nan
2857291,0230-40086,HubCity,nan
2857407,0250-60772,HubCity,nan
2857419,0250-60820,HubCity,nan
2857415,0250-60816,HubCity,nan
2857423,0250-60854,HubCity,nan
2857427,0250-60858,HubCity,nan
2857411,0250-60776,HubCity,nan
2857435,0250-60866,HubCity,nan
2857443,0250-60874,HubCity,nan
2857439,0250-60870,HubCity,nan
2857447,0250-60878,HubCity,nan
2857451,0250-60882,HubCity,nan
2857363,0230-47087,HubCity,nan
2857459,0250-60890,HubCity,nan
2857327,0230-40533,HubCity,nan
2857463,0250-60894,HubCity,nan
2857359,0230-46672,HubCity,nan
2857379,0230-47500,HubCity,nan
2857471,0250-60902,HubCity,nan
2857467,0250-60898,HubCity,nan
2857487,0250-60922,HubCity,nan
2857495,0250-60930,HubCity,nan
2857479,0250-60914,HubCity,nan
2857499,0250-60934,HubCity,nan
2857399,0250-60706,HubCity,nan
2857503,0250-60938,HubCity,nan
2857431,0250-60862,HubCity,nan
2857475,0250-60906,HubCity,nan
2857519,0250-60954,HubCity,nan
2857527,0250-60962,HubCity,nan
2857455,0250-60886,HubCity,nan
2857531,0250-60966,HubCity,nan
2857515,0250-60950,HubCity,nan
2857511,0250-60946,HubCity,nan
2857539,0250-60974,HubCity,nan
2857535,0250-60970,HubCity,nan
2857483,0250-60918,HubCity,nan
2857551,0250-60986,HubCity,nan
2857559,0250-61104,HubCity,nan
2857567,0250-61112,HubCity,nan
2857543,0250-60978,HubCity,nan
2857547,0250-60982,HubCity,nan
2857507,0250-60942,HubCity,nan
2857623,0250-61172,HubCity,nan
2857583,0250-61128,HubCity,nan
2857591,0250-61136,HubCity,nan
2857595,0250-61140,HubCity,nan
2857575,0250-61120,HubCity,nan
